SET_ID	RankSumP
SET_407	0.0112
SET_408	0.256
SET_409	0.24
SET_410	0.0274
SET_411	0.132
SET_412	0.483
SET_413	0.147
SET_414	0.0179
SET_415	0.117
SET_416	0.0119
SET_417	0.00109
SET_418	0.825
SET_419	0.989
SET_420	0.135
SET_421	0.131
SET_422	0.0147
SET_423	0.188
SET_424	0.0162
SET_425	0.894
SET_426	0.861
SET_427	0.0674
SET_428	0.0247
SET_429	0.154
SET_430	0.627
SET_431	0.0219
SET_432	0.844
SET_433	0.143
SET_434	0.0517
SET_435	0.84
SET_436	0.288
SET_437	0.142
SET_438	0.417
SET_439	0.377
SET_440	3.66e-23
SET_441	0.852
SET_442	0.274
SET_443	0.582
SET_444	0.244
SET_445	0.00647
SET_446	5.81e-12
SET_447	1.83e-12
SET_448	0.0117
SET_449	0.107
SET_450	0.244
SET_451	0.289
SET_452	1.03e-12
SET_453	6.7e-12
SET_454	8.29e-13
SET_455	0.722
SET_456	0.721
SET_457	0.248
SET_458	0.182
SET_459	0.000621
SET_460	0.0318
SET_461	5.69e-09
SET_462	2.93e-11
SET_463	1.09e-12
SET_464	9.84e-12
SET_465	0.000935
SET_466	0.0108
SET_467	0.204
SET_468	0.0127
SET_469	0.0204
SET_470	0.523
SET_471	0.899
SET_472	7.3e-07
SET_473	1.48e-05
SET_474	7.52e-06
SET_475	3.59e-05
SET_476	3.37e-05
SET_477	8.28e-07
SET_478	9.04e-05
SET_479	0.0223
SET_480	0.00384
SET_481	5.56e-10
SET_482	7.05e-12
SET_483	4.94e-07
SET_484	0.00384
SET_485	8.89e-09
SET_486	1.54e-08
SET_487	1.06e-08
SET_488	2.43e-07
SET_489	2.09e-06
SET_490	2.16e-07
SET_491	0.00902
SET_492	0.00371
SET_493	5.68e-05
SET_494	5.54e-09
SET_495	4.49e-09
SET_496	4.03e-08
SET_497	0.00281
SET_498	1.53e-08
SET_499	7.31e-07
SET_500	5.06e-05
SET_501	0.000318
SET_502	0.0298
SET_503	2.35e-40
SET_504	0.0316
SET_505	0.604
SET_506	3.05e-05
SET_507	3.62e-05
SET_508	0.000163
SET_509	9.69e-12
SET_510	8.46e-10
SET_511	0.00558
SET_512	0.0252
SET_513	0.0047
SET_514	0.0187
SET_515	0.000989
SET_516	4.28e-05
SET_517	0.195
SET_518	0.00079
SET_519	0.000105
SET_520	0.000706
SET_521	0.0799
SET_522	0.784
SET_523	8.46e-09
SET_524	1.07e-05
SET_525	0.195
SET_526	2.59e-08
SET_527	6.06e-12
SET_528	2.14e-10
SET_529	0.00014
SET_530	0.000501
SET_531	0.0114
SET_532	0.00734
SET_533	5.57e-10
SET_534	3.14e-07
SET_535	4.7e-08
SET_536	2.43e-09
SET_537	5.95e-10
SET_538	3.15e-10
SET_539	0.00431
SET_540	0.144
SET_541	8.7e-08
SET_542	0.000643
SET_543	0.402
SET_544	0.0655
SET_545	0.751
SET_546	0.4
SET_547	0.0331
