OE_Metabolite	BioAge_Metabolite
C8-pos_953	C36:2_DAG
C8-pos_1301	C8-pos_cmp.QI3611
C8-pos_1015	C8-pos_cmp.QI3620
C8-pos_1017	C36:1_DAG
C8-pos_1422	C16:1_CE
C8-pos_1039	C8-pos_cmp.QI3643
C8-pos_1052	C36:0_DAG
C8-pos_1556	C16:0_CE
C8-pos_1338	C16:0_CE
C8-pos_1470	C8-pos_cmp.QI3674
C8-pos_1088	C8-pos_cmp.QI3697
C8-pos_234	C8-pos_cmp.QI3708
C8-pos_266	C8-pos_cmp.QI3553
C8-pos_1518	C8-pos_cmp.QI3714
C8-pos_1006	C8-pos_cmp.QI3730
C8-pos_1664	C8-pos_cmp.QI3735
C8-pos_1868	C8-pos_cmp.QI3738
C8-pos_1771	C8-pos_cmp.QI3738
C8-pos_1746	C8-pos_cmp.QI3738
C8-pos_844	C8-pos_cmp.QI3744
C8-pos_1045	C8-pos_cmp.QI3760
C8-pos_264	C8-pos_cmp.QI3553
C8-pos_957	C8-pos_cmp.QI3771
C8-pos_1525	C8-pos_cmp.QI3774
C8-pos_1907	C8-pos_cmp.QI3780
C8-pos_1672	C8-pos_cmp.QI3805
C8-pos_1244	C8-pos_cmp.QI3814
C8-pos_1881	C8-pos_cmp.QI3820
C8-pos_836	C38:5_DAG
C8-pos_1885	C8-pos_cmp.QI3854
C8-pos_1153	C8-pos_cmp.QI3854
C8-pos_951	C38:4_DAG
C8-pos_1241	C8-pos_cmp.QI3872
C8-pos_969	C8-pos_cmp.QI3885
C8-pos_1803	C8-pos_cmp.QI3891
C8-pos_1844	C8-pos_cmp.QI3891
C8-pos_1778	C8-pos_cmp.QI3891
C8-pos_1342	C18:3_CE
C8-pos_1026	C8-pos_cmp.QI3907
C8-pos_1476	C8-pos_cmp.QI3908
C8-pos_1456	C18:2_CE
C8-pos_1066	C8-pos_cmp.QI3928
C8-pos_322	C8-pos_cmp.QI3946
C8-pos_1590	C18:1_CE
C8-pos_1085	C8-pos_cmp.QI3959
C8-pos_1725	C18:0_CE
C8-pos_1440	C8-pos_cmp.QI3997
C8-pos_1390	C8-pos_cmp.QI3997
C8-pos_1458	C8-pos_cmp.QI4016
C8-pos_1606	C8-pos_cmp.QI4044
C8-pos_1689	C8-pos_cmp.QI4044
C8-pos_959	C8-pos_cmp.QI4061
C8-pos_1048	C8-pos_cmp.QI4068
C8-pos_1880	C8-pos_cmp.QI4070
C8-pos_1340	C8-pos_cmp.QI4080
C8-pos_1158	C8-pos_cmp.QI4082
C8-pos_1549	C8-pos_cmp.QI4084
C8-pos_1093	C8-pos_cmp.QI4092
C8-pos_1460	C8-pos_cmp.QI4106
C8-pos_1100	C8-pos_cmp.QI4108
C8-pos_1130	C8-pos_cmp.QI4110
C8-pos_1692	C8-pos_cmp.QI4112
C8-pos_805	C8-pos_cmp.QI4138
C8-pos_368	C8-pos_cmp.QI4139
C8-pos_1591	C8-pos_cmp.QI4140
C8-pos_1193	C8-pos_cmp.QI4161
C8-pos_1726	C8-pos_cmp.QI4163
C8-pos_1288	C20:5_CE
C8-pos_1468	C8-pos_cmp.QI4185
C8-pos_1654	C8-pos_cmp.QI4186
C8-pos_1395	C20:4_CE
C8-pos_1607	C8-pos_cmp.QI4203
C8-pos_350	C8-pos_cmp.QI4212
C8-pos_1524	C20:3_CE
C8-pos_1655	C8-pos_cmp.QI4237
C8-pos_1122	C8-pos_cmp.QI4240
C8-pos_1886	C8-pos_cmp.QI4240
C8-pos_1209	C8-pos_cmp.QI4240
C8-pos_1242	C8-pos_cmp.QI4240
C8-pos_1739	C8-pos_cmp.QI4260
C8-pos_1359	C8-pos_cmp.QI4274
C8-pos_1396	C8-pos_cmp.QI4296
C8-pos_480	C8-pos_cmp.QI4309
C8-pos_1469	C8-pos_cmp.QI4331
C8-pos_1293	C8-pos_cmp.QI4345
C8-pos_1400	C8-pos_cmp.QI4363
C8-pos_1570	C8-pos_cmp.QI4403
C8-pos_598	C8-pos_cmp.QI4413
C8-pos_501	C8-pos_cmp.QI4425
C8-pos_1112	C8-pos_cmp.QI4426
C8-pos_760	C8-pos_cmp.QI4434
C8-pos_600	C8-pos_cmp.QI4435
C8-pos_1331	C22:6_CE
C8-pos_395	C8-pos_cmp.QI4472
C8-pos_418	C8-pos_cmp.QI4472
C8-pos_354	C8-pos_cmp.QI4480
C8-pos_1867	C8-pos_cmp.QI4492
C8-pos_420	C8-pos_cmp.QI4522
C8-pos_479	C8-pos_cmp.QI4541
C8-pos_1847	C8-pos_cmp.QI4548
C8-pos_1181	C8-pos_cmp.QI4545
C8-pos_1695	C8-pos_cmp.QI4545
C8-pos_1336	C8-pos_cmp.QI4559
C8-pos_1882	C8-pos_cmp.QI4575
C8-pos_1152	C8-pos_cmp.QI4575
C8-pos_1392	C8-pos_cmp.QI4586
C8-pos_1461	C8-pos_cmp.QI4607
C8-pos_698	C8-pos_cmp.QI4610
C8-pos_1849	C8-pos_cmp.QI4611
C8-pos_1713	C8-pos_cmp.QI4611
C8-pos_1240	C8-pos_cmp.QI4611
C8-pos_1255	C8-pos_cmp.QI4611
C8-pos_1334	C8-pos_cmp.QI4632
C8-pos_1609	C8-pos_cmp.QI4633
C8-pos_1126	C8-pos_cmp.QI4660
C8-pos_1459	C8-pos_cmp.QI4672
C8-pos_1600	C8-pos_cmp.QI4699
C8-pos_1102	C8-pos_cmp.QI4700
C8-pos_1128	C8-pos_cmp.QI4716
C8-pos_440	C8-pos_cmp.QI4723
C8-pos_658	C8-pos_cmp.QI4725
C8-pos_763	C8-pos_cmp.QI4734
C8-pos_1155	C42:0_TAG
C8-pos_548	C8-pos_cmp.QI4749
C8-pos_681	C36:0_PE
C8-pos_475	C8-pos_cmp.QI4790
C8-pos_411	C8-pos_cmp.QI4799
C8-pos_1879	C8-pos_cmp.QI4803
C8-pos_610	C8-pos_cmp.QI4812
C8-pos_467	C8-pos_cmp.QI4818
C8-pos_943	C8-pos_cmp.QI4819
C8-pos_693	C8-pos_cmp.QI4833
C8-pos_577	C8-pos_cmp.QI4838
C8-pos_783	C38:3_PE_plasmalogen
C8-pos_697	C8-pos_cmp.QI4852
C8-pos_927	C34:1_PC
C8-pos_1899	C8-pos_cmp.QI4663
C8-pos_1398	C8-pos_cmp.QI4898
C8-pos_830	C34:0_PC
C8-pos_550	C38:6_PE
C8-pos_647	C8-pos_cmp.QI4909
C8-pos_535	C8-pos_cmp.QI4910
C8-pos_1900	C8-pos_cmp.QI4911
C8-pos_1106	C8-pos_cmp.QI4936
C8-pos_1221	C8-pos_cmp.QI4938
C8-pos_1835	C8-pos_cmp.QI4938
C8-pos_1690	C8-pos_cmp.QI4938
C8-pos_508	C8-pos_cmp.QI4963
C8-pos_1135	C44:2_TAG
C8-pos_880	C36:3_PC_plasmalogen
C8-pos_832	C8-pos_cmp.QI4987
C8-pos_1175	C44:1_TAG
C8-pos_719	C8-pos_cmp.QI4995
C8-pos_616	C38:2_PE
C8-pos_952	C8-pos_cmp.QI5003
C8-pos_1243	C44:0_TAG
C8-pos_689	C8-pos_cmp.QI5016
C8-pos_664	C36:2_PS_plasmalogen
C8-pos_784	C8-pos_cmp.QI5018
C8-pos_510	C8-pos_cmp.QI5052
C8-pos_409	C8-pos_cmp.QI5057
C8-pos_369	C8-pos_cmp.QI5058
C8-pos_917	C8-pos_cmp.QI5062
C8-pos_701	C8-pos_cmp.QI5077
C8-pos_603	C8-pos_cmp.QI5083
C8-pos_515	C8-pos_cmp.QI5090
C8-pos_433	C8-pos_cmp.QI5091
C8-pos_781	C8-pos_cmp.QI5095
C8-pos_1010	C8-pos_cmp.QI5094
C8-pos_1223	C45:1_TAG_+NH4
C8-pos_516	C8-pos_cmp.QI5098
C8-pos_876	C8-pos_cmp.QI5103
C8-pos_568	C8-pos_cmp.QI5098
C8-pos_655	C8-pos_cmp.QI5115
C8-pos_1299	C45:0_TAG_+NH4
C8-pos_645	C8-pos_cmp.QI5118
C8-pos_762	C8-pos_cmp.QI5122
C8-pos_1182	C45:2_TAG
C8-pos_1224	C45:1_TAG
C8-pos_679	C8-pos_cmp.QI5154
C8-pos_424	C8-pos_cmp.QI5161
C8-pos_1180	C8-pos_cmp.QI5164
C8-pos_659	C8-pos_cmp.QI5171
C8-pos_447	C8-pos_cmp.QI5195
C8-pos_773	C8-pos_cmp.QI5196
C8-pos_355	C8-pos_cmp.QI5209
C8-pos_528	C8-pos_cmp.QI5221
C8-pos_877	C8-pos_cmp.QI5222
C8-pos_628	C8-pos_cmp.QI5223
C8-pos_1864	C8-pos_cmp.QI5226
C8-pos_1750	C8-pos_cmp.QI5226
C8-pos_1714	C8-pos_cmp.QI5226
C8-pos_529	C8-pos_cmp.QI5229
C8-pos_421	C8-pos_cmp.QI5232
C8-pos_1119	C46:4_TAG
C8-pos_569	C8-pos_cmp.QI5229
C8-pos_618	C8-pos_cmp.QI5242
C8-pos_495	C8-pos_cmp.QI5243
C8-pos_736	C8-pos_cmp.QI5247
C8-pos_885	C8-pos_cmp.QI5246
C8-pos_641	C8-pos_cmp.QI5249
C8-pos_1147	C46:3_TAG
C8-pos_1888	C8-pos_cmp.QI5256
C8-pos_520	C8-pos_cmp.QI5265
C8-pos_625	C8-pos_cmp.QI5268
C8-pos_819	C8-pos_cmp.QI5270
C8-pos_745	C8-pos_cmp.QI5277
C8-pos_1207	C46:2_TAG
C8-pos_949	C8-pos_cmp.QI5289
C8-pos_1838	C8-pos_cmp.QI5296
C8-pos_1200	C8-pos_cmp.QI5297
C8-pos_703	C8-pos_cmp.QI5305
C8-pos_975	C8-pos_cmp.QI5307
C8-pos_1271	C46:1_TAG
C8-pos_851	C8-pos_cmp.QI5319
C8-pos_1471	C8-pos_cmp.QI5329
C8-pos_1035	C8-pos_cmp.QI5335
C8-pos_1370	C46:0_TAG
C8-pos_1807	C8-pos_cmp.QI5337
C8-pos_434	C8-pos_cmp.QI5348
C8-pos_531	C36:4_PC-B
C8-pos_581	C38:6_PC
C8-pos_960	C8-pos_cmp.QI5129
C8-pos_1251	C47:2_TAG_+NH4
C8-pos_583	C8-pos_cmp.QI5408
C8-pos_633	C8-pos_cmp.QI5408
C8-pos_1462	C8-pos_cmp.QI5411
C8-pos_923	C8-pos_cmp.QI5414
C8-pos_747	C8-pos_cmp.QI5424
C8-pos_604	C8-pos_cmp.QI5424
C8-pos_1333	C47:1_TAG_+NH4
C8-pos_737	C8-pos_cmp.QI5437
C8-pos_984	C8-pos_cmp.QI5442
C8-pos_818	C8-pos_cmp.QI5443
C8-pos_1183	C8-pos_cmp.QI5444
C8-pos_1452	C47:0_TAG_+NH4
C8-pos_1146	C8-pos_cmp.QI5462
C8-pos_936	C8-pos_cmp.QI5463
C8-pos_1247	C47:2_TAG
C8-pos_1205	C8-pos_cmp.QI5484
C8-pos_1335	C47:1_TAG
C8-pos_630	C8-pos_cmp.QI5493
C8-pos_713	C8-pos_cmp.QI5494
C8-pos_1270	C8-pos_cmp.QI5502
C8-pos_727	C8-pos_cmp.QI5511
C8-pos_891	C8-pos_cmp.QI5511
C8-pos_517	C8-pos_cmp.QI5513
C8-pos_988	C8-pos_cmp.QI5515
C8-pos_599	C8-pos_cmp.QI5540
C8-pos_853	C40:7_PC_plasmalogen
C8-pos_700	C8-pos_cmp.QI5542
C8-pos_714	C8-pos_cmp.QI5543
C8-pos_587	C8-pos_cmp.QI5551
C8-pos_1140	C48:5_TAG
C8-pos_759	C8-pos_cmp.QI5570
C8-pos_594	C8-pos_cmp.QI5571
C8-pos_777	C8-pos_cmp.QI5573
C8-pos_869	C8-pos_cmp.QI5572
C8-pos_1008	C8-pos_cmp.QI5576
C8-pos_768	C8-pos_cmp.QI5584
C8-pos_976	C8-pos_cmp.QI5590
C8-pos_1167	C48:4_TAG
C8-pos_468	C8-pos_cmp.QI5598
C8-pos_588	C8-pos_cmp.QI5599
C8-pos_643	C8-pos_cmp.QI5601
C8-pos_928	C8-pos_cmp.QI5604
C8-pos_1033	C8-pos_cmp.QI5618
C8-pos_1226	C48:3_TAG
C8-pos_584	C8-pos_cmp.QI5627
C8-pos_863	C8-pos_cmp.QI5629
C8-pos_1011	C8-pos_cmp.QI5633
C8-pos_980	C8-pos_cmp.QI5639
C8-pos_1304	C48:2_TAG
C8-pos_1029	C8-pos_cmp.QI5655
C8-pos_1410	C48:1_TAG
C8-pos_1074	C8-pos_cmp.QI5670
C8-pos_1530	C48:0_TAG
C8-pos_1349	C8-pos_cmp.QI5671
C8-pos_1889	C8-pos_cmp.QI5672
C8-pos_607	C8-pos_cmp.QI5682
C8-pos_476	C8-pos_cmp.QI5714
C8-pos_767	C8-pos_cmp.QI5712
C8-pos_556	C8-pos_cmp.QI5713
C8-pos_1279	C49:3_TAG_+NH4
C8-pos_771	C8-pos_cmp.QI5721
C8-pos_937	C8-pos_cmp.QI5730
C8-pos_828	C8-pos_cmp.QI5746
C8-pos_1043	C8-pos_cmp.QI5748
C8-pos_1383	C49:2_TAG_+NH4
C8-pos_999	C8-pos_cmp.QI5754
C8-pos_1218	C8-pos_cmp.QI5755
C8-pos_1710	C8-pos_cmp.QI5934
C8-pos_1863	C8-pos_cmp.QI5934
C8-pos_789	C8-pos_cmp.QI5764
C8-pos_1497	C49:1_TAG_+NH4
C8-pos_1168	C8-pos_cmp.QI5770
C8-pos_1055	C8-pos_cmp.QI5771
C8-pos_1280	C49:3_TAG
C8-pos_902	C8-pos_cmp.QI5784
C8-pos_1592	C49:0_TAG_+NH4
C8-pos_1228	C8-pos_cmp.QI5793
C8-pos_1374	C49:2_TAG
C8-pos_1305	C8-pos_cmp.QI5809
C8-pos_1500	C49:1_TAG
C8-pos_601	C8-pos_cmp.QI5818
C8-pos_870	C8-pos_cmp.QI5821
C8-pos_585	C8-pos_cmp.QI5823
C8-pos_1133	C8-pos_cmp.QI5832
C8-pos_1411	C8-pos_cmp.QI5833
C8-pos_663	C8-pos_cmp.QI5839
C8-pos_931	C8-pos_cmp.QI5843
C8-pos_1166	C50:6_TAG
C8-pos_405	C8-pos_cmp.QI5862
C8-pos_1009	C8-pos_cmp.QI5866
C8-pos_913	C8-pos_cmp.QI5869
C8-pos_1186	C50:5_TAG
